DateTime,AddedIPs,RemovedIPs
1639305579,23,31
1639306298,41,58
1639307018,57,57
1639307739,31,47
1639308699,45,69
1639309419,36,51
1639310138,23,31
1639310859,23,27
1639311578,30,29
1639312298,38,42
1639313018,39,39
1639313740,31,30
1639314459,27,32
1639315178,48,22
1639315898,42,34
1639316618,41,41
1639317339,41,28
1639318299,53,39
1639319019,25,24
1639319978,30,60
1639320699,38,33
1639321418,32,31
1639322138,25,33
1639323098,45,41
1639323819,27,32
1639324538,39,43
1639325498,28,58
1639326218,41,26
1639326938,33,26
1639327898,40,27
1639328619,23,23
1639329338,30,121
1639330298,26,37
1639331019,44,31
1639331979,34,48
1639332699,26,29
1639333419,47,28
1639334139,41,19
1639334858,61,28
1639335579,40,28
1639336299,43,23
1639337019,31,55
1639337738,41,26
1639338458,32,40
1639339178,24,41
1639339898,91,39
1639340618,22,26
1639341578,36,45
1639342299,66,30
1639343019,39,40
1639343739,56,30
1639344698,52,34
1639345419,38,25
1639346139,36,40
1639347099,38,46
1639347818,30,38
1639348539,28,26
1639349500,41,32
1639350219,34,27
1639350938,29,26
1639351899,40,55
1639352619,27,58
1639353340,27,37
1639354059,36,30
1639355019,35,45
1639355980,41,38
1639356699,30,26
1639357418,26,26
1639358141,50,40
1639359098,50,38
1639359819,42,41
1639360538,67,17
1639361499,64,38
1639362218,44,23
1639362940,32,30
1639363658,45,30
1639364619,66,40
1639365339,27,19
1639366298,54,31
1639367019,44,30
1639367738,26,25
1639368458,28,26
1639369179,25,32
1639369899,25,31
1639370620,34,22
1639371338,29,23
1639372059,42,28
1639372779,30,50
1639373499,25,26
1639374219,29,33
1639374940,32,27
1639375659,36,21
1639376379,27,28
1639377099,35,54
1639377819,41,24
1639378540,30,28
1639379738,44,72
1639380701,35,62
1639381418,27,53
1639382140,29,47
1639382860,42,25
1639383579,28,48
1639384539,42,93
1639385259,37,48
1639385979,34,49
1639386698,40,40
1639387418,28,36
1639388139,38,24
1639388859,37,37
1639389581,26,40
1639390299,46,26
1639391018,64,39
1639391740,42,31
1639392458,26,29
1639393179,28,56
1639394141,35,67
1639394859,43,29
1639395579,89,52
1639396300,22,23
1639397019,31,23
1639397738,26,34
1639398460,29,34
1639399180,41,47
1639400140,33,43
1639400859,28,19
1639401579,24,46
1639402298,26,43
1639403019,31,36
1639403739,24,45
1639404458,24,43
1639405178,30,30
1639405899,31,30
1639406619,31,35
1639407340,31,33
1639408058,32,22
1639408779,30,32
1639409499,23,34
1639410219,32,23
1639410939,93,40
1639411660,42,31
1639412619,49,44
1639413340,34,35
1639414298,44,34
1639415018,55,22
1639415741,40,23
1639416458,27,23
1639417179,38,35
1639417899,29,34
1639418619,65,31
1639419339,56,35
1639420060,33,41
1639420780,45,42
1639421499,38,59
1639422218,40,41
1639422938,29,39
1639423899,69,57
1639424619,34,36
1639425340,35,31
1639426060,40,33
1639426778,40,32
1639427498,29,23
1639428220,32,29
1639429179,54,77
1639429899,53,50
1639430618,33,49
1639431340,22,39
1639432058,44,37
1639432779,38,32
1639433501,78,27
1639434218,40,31
1639434938,47,24
1639435659,50,37
1639436378,41,37
1639437099,37,33
1639437819,43,26
1639438539,25,27
1639439499,50,36
1639440218,30,27
1639440939,42,38
1639441658,74,18
1639442378,29,33
1639443338,32,31
1639444059,35,29
1639444780,49,51
1639445498,49,36
1639446219,46,43
1639446940,36,53
1639447658,29,56
1639448379,41,50
1639449099,26,33
1639450058,60,52
1639450778,46,35
1639451499,52,60
1639452219,47,26
1639453180,63,51
1639453899,33,39
1639454618,21,19
1639455341,29,26
1639456058,30,21
1639456779,80,33
1639457500,37,28
1639458219,23,32
1639458941,51,38
1639459658,35,40
1639460378,37,32
1639461100,29,23
1639461819,34,35
1639462540,25,37
1639463260,46,37
1639463980,36,35
1639464699,101,32
1639465420,35,28
1639466140,42,30
1639466860,52,29
1639467580,28,22
1639468299,27,28
1639469019,33,36
1639469741,44,26
1639470459,43,34
1639471180,45,28
1639471898,47,25
1639472619,44,36
1639473341,46,43
1639474059,40,21
1639474778,26,29
1639475498,42,40
1639476219,37,20
1639476943,36,41
1639477660,41,55
1639478378,33,43
1639479100,34,26
1639479700,29,24
1639480299,27,22
1639481018,39,29
1639481741,29,52
1639482459,22,82
1639483179,39,21
1639483900,33,30
1639484619,52,36
1639485578,57,39
1639486298,37,36
1639487019,33,28
1639487978,35,36
1639488698,31,29
1639489419,39,32
1639490138,41,27
1639490858,28,31
1639491582,37,26
1639492299,39,31
1639493258,47,46
1639494219,40,31
1639494940,45,36
1639495658,50,24
1639496379,33,28
1639497099,32,106
1639497819,25,28
1639498779,28,57
1639499499,29,35
1639500221,24,28
1639500941,39,36
1639501659,35,55
1639502619,36,37
1639503339,28,33
1639504059,36,35
1639505018,42,53
1639505740,38,60
1639506458,36,30
1639507178,30,30
1639507898,33,43
1639508619,36,35
1639509339,40,20
1639510059,27,51
1639510780,44,35
1639511499,21,38
1639512219,26,27
1639512941,37,45
1639513659,28,28
1639514619,59,31
1639515340,24,36
1639516058,36,31
1639516779,28,30
1639517498,29,29
1639518219,23,18
1639518940,24,28
1639519660,36,20
1639520379,27,77
1639521099,41,36
1639521819,24,43
1639522540,31,34
1639523258,16,27
1639523978,21,25
1639524939,42,37
1639525659,15,25
1639526380,25,30
1639527098,34,36
1639527819,43,70
1639528539,30,38
1639529259,38,28
1639529979,27,17
1639530939,33,38
1639531659,25,44
1639532379,32,39
1639533099,21,21
1639533818,30,25
1639534540,26,24
1639535259,20,47
1639535979,26,31
1639536938,39,52
1639537658,40,35
1639538378,28,42
1639539098,22,35
1639539819,17,37
1639540538,31,30
1639541259,24,23
1639541980,43,24
1639542698,36,53
1639543418,25,42
1639544138,28,28
1639545098,36,39
1639545819,37,32
1639546540,22,22
1639547258,28,31
1639547979,24,19
1639548699,37,25
1639549418,33,37
1639550139,17,31
1639550859,36,90
1639551578,17,43
1639552539,48,39
1639553260,37,43
1639553978,39,36
1639554699,28,30
1639555419,37,32
1639556140,27,44
1639556858,23,42
1639557578,36,42
1639558299,48,35
1639559019,23,30
1639559740,26,84
1639560459,27,36
1639561179,36,24
1639561898,27,41
1639562619,38,48
1639563340,41,38
1639564058,27,40
1639564779,103,27
1639565498,41,24
1639566218,25,39
1639566941,32,21
